# Title: Saurane - Turkish DNS Filter
# Entries: 132
# Updated: 03 Jan 2022 5:17:50 PM
# Homepage: https://github.com/saurane/Turkish-Blocklist
# License: https://github.com/saurane/Turkish-Blocklist/blob/master/LICENSE
# E-mail: saurane@protonmail.com

127.0.0.1 localhost
127.0.0.1 localhost.localdomain
127.0.0.1 local
255.255.255.255 broadcasthost
::1 localhost
::1 ip6-localhost
::1 ip6-loopback
fe80::1%lo0 localhost
ff00::0 ip6-localnet
ff00::0 ip6-mcastprefix
ff02::1 ip6-allnodes
ff02::2 ip6-allrouters
ff02::3 ip6-allhosts
0.0.0.0 0.0.0.0
0.0.0.0 8digits.com
0.0.0.0 ad-cdn.bilgin.pro
0.0.0.0 ad.bilgin.pro
0.0.0.0 ad.reyazilim.com
0.0.0.0 ad.yemeksepeti.com
0.0.0.0 ad01.tmgrup.com.tr
0.0.0.0 adbreak.com
0.0.0.0 adbreak.net
0.0.0.0 adbuzz.com.tr
0.0.0.0 addata.exxen.com
0.0.0.0 adhouse.pro
0.0.0.0 adklik.com.tr
0.0.0.0 adl.mynetreklam.com
0.0.0.0 admatic.com.tr
0.0.0.0 admost.com
0.0.0.0 adn.bursadabugun.com
0.0.0.0 adnboost.com
0.0.0.0 adplay.com.tr
0.0.0.0 adplus.yaani.com.tr
0.0.0.0 adreact.com
0.0.0.0 ads.dygdigital.com
0.0.0.0 adserve.donanimhaber.com
0.0.0.0 adserver.a24.com.tr
0.0.0.0 adsp.haberturk.com
0.0.0.0 adtarget.com.tr
0.0.0.0 adworld.com.tr
0.0.0.0 aip-cdn.sozcu.com.tr
0.0.0.0 aip2.sozcu.com.tr
0.0.0.0 analytic.turkiyefinans.com.tr
0.0.0.0 analytics.dugun.com
0.0.0.0 analytics.halkbank.com.tr
0.0.0.0 asgs12.yaani.com.tr
0.0.0.0 athena-event-provider.n11.com
0.0.0.0 banner.tmgrup.com.tr
0.0.0.0 bildirnet.com
0.0.0.0 bildirt.com
0.0.0.0 c.gazetevatan.com
0.0.0.0 cdn3.tooplay.com
0.0.0.0 clicks.hurriyet.com.tr
0.0.0.0 collect.arabam.com
0.0.0.0 collect.trendyol.com
0.0.0.0 collector.blupoint.io
0.0.0.0 cookieseal.com
0.0.0.0 countly.fibabanka.com.tr
0.0.0.0 d.haberler.com
0.0.0.0 dacs.generalmobile.com
0.0.0.0 dataroid.com
0.0.0.0 dengage.com
0.0.0.0 doganburda.com
0.0.0.0 dogus-ads-cdn.dygdigital.com
0.0.0.0 dygassets.dygdigital.com
0.0.0.0 efilli.com
0.0.0.0 events.bitaksi.com
0.0.0.0 evs.data.ciceksepeti.com
0.0.0.0 gelirartisi.com
0.0.0.0 geoim.bloomberght.com
0.0.0.0 geoloc.hurriyet.com.tr
0.0.0.0 gez.io
0.0.0.0 hepsiads-bff.hepsiburada.com
0.0.0.0 hepsiads-gw.hepsiburada.com
0.0.0.0 hepsiads-ui.hepsiburada.com
0.0.0.0 hit.demirorenteknoloji.com
0.0.0.0 hit.mynet.com
0.0.0.0 hits.acunn.com
0.0.0.0 hstats.hepsiburada.com
0.0.0.0 istatistik.arabam.com
0.0.0.0 istatistik.gazetevatan.com
0.0.0.0 istatistik.trthaber.com
0.0.0.0 log.haberturk.com
0.0.0.0 makroo.com
0.0.0.0 marketing.turkiyefinans.com.tr
0.0.0.0 medya.ilan.gov.tr
0.0.0.0 medyanetads.com
0.0.0.0 mynetreklam.com
0.0.0.0 n.tooplay.com
0.0.0.0 nativespot.com
0.0.0.0 netmera-web.com
0.0.0.0 networkad.net
0.0.0.0 orsis.net
0.0.0.0 outstream.cdn.vidyome.com
0.0.0.0 personaclick.com
0.0.0.0 perzonalization.com
0.0.0.0 pixels.ingbank.com.tr
0.0.0.0 poczta.generalmobile.com
0.0.0.0 poeticmetric.com
0.0.0.0 poltio.com
0.0.0.0 pozitron.com
0.0.0.0 programattik.com
0.0.0.0 psabah.tmgrup.com.tr
0.0.0.0 push.euromsg.com
0.0.0.0 pushr.euromsg.com
0.0.0.0 pushs.euromsg.com
0.0.0.0 r.cdn.acunn.com
0.0.0.0 r.tooplay.com
0.0.0.0 reklam.turkmmo.com
0.0.0.0 reklamagaci.com
0.0.0.0 reklamnative.com
0.0.0.0 reklamstore.com
0.0.0.0 relateddigital.com
0.0.0.0 revenueflex.com
0.0.0.0 revotas.com
0.0.0.0 s.fullhdfilmizlesene.com
0.0.0.0 say.ac
0.0.0.0 sdkapi.netmera.com
0.0.0.0 searchanalytics.turkcell.com.tr
0.0.0.0 segmentify.com
0.0.0.0 smetrics.vodafone.com.tr
0.0.0.0 sociaplus.com
0.0.0.0 sqgz.generalmobile.com
0.0.0.0 st.tmgrup.com.tr
0.0.0.0 stats.acunn.com
0.0.0.0 stats.blutv.com
0.0.0.0 stats.ganipara.com
0.0.0.0 stats.vidyome.com
0.0.0.0 subservis.com
0.0.0.0 t.enuygun.com
0.0.0.0 t.lidyana.com
0.0.0.0 t.onedio.com
0.0.0.0 track.tooplay.com
0.0.0.0 tracker.blutv.com
0.0.0.0 useinsider.com
0.0.0.0 veloxity.net
0.0.0.0 virgul.com
0.0.0.0 visilabs.com
0.0.0.0 visilabs.net
0.0.0.0 visitorlab.com
0.0.0.0 webeyo.com
0.0.0.0 webinstats.com
0.0.0.0 webstats.garanti.com.tr
0.0.0.0 widget.cdn.vidyome.com
0.0.0.0 xenn.io
0.0.0.0 yenimedya.com.tr
